COMPANY,,MARKET PRICE,CLOSE PRICE,MARKET CAP(Cr),
Reliance Industries,,"₹2,529.65-42.25(1.64%)","₹2,457.10","₹16,63,189",
TCS,,"₹3,354.9515.45(0.46%)","₹3,260.50","₹11,93,034",
HDFC Bank,,"₹1,427.35-4.55(0.32%)","₹1,416.85","₹7,87,469",
Infosys,,"₹1,616.6516.75(1.05%)","₹1,517.40","₹6,36,462",
Hindustan Unilever,,"₹2,627.951.60(0.06%)","₹2,620.10","₹6,15,616",
ICICI Bank,,₹840.5020.25(2.47%),₹814.60,"₹5,66,687",
SBI,,₹533.25-7.60(1.41%),₹532.45,"₹4,75,191",
Bajaj Finance,,"₹7,304.70-11.95(0.16%)","₹7,076.60","₹4,27,185",
LIC,,₹687.3513.65(2.03%),₹674.90,"₹4,26,874",
HDFC,,"₹2,355.20-6.55(0.28%)","₹2,337.55","₹4,24,141",
Bharti Airtel,,₹703.659.35(1.35%),₹666.85,"₹3,77,301",
ITC,,₹308.15-1.80(0.58%),₹303.45,"₹3,75,522",
Kotak Mahindra Bank,,"₹1,835.55-15.55(0.84%)","₹1,828.50","₹3,63,551",
Adani Green Energy,,"₹2,106.20-84.75(3.87%)","₹2,143.95","₹3,39,608",
Adani Transmission,,"₹3,313.55-216.90(6.14%)","₹3,012.65","₹3,36,058",
Adani Total Gas,,"₹3,347.40-2.25(0.07%)","₹3,005.90","₹3,30,591",
Asian Paints,,"₹3,460.5020.85(0.61%)","₹3,272.40","₹3,13,770",
Adani Enterprises,,"₹2,698.40-25.20(0.93%)","₹2,550.40","₹2,90,745",
Avenue Supermarts,,"₹4,232.25-6.85(0.16%)","₹4,147.80","₹2,68,684",
Maruti Suzuki,,"₹8,959.45-213.60(2.33%)","₹8,721.05","₹2,63,445",
HCL Technologies,,₹957.75-0.35(0.04%),₹946.10,"₹2,56,141",
L&T,,"₹1,787.457.35(0.41%)","₹1,801.25","₹2,53,110",
Bajaj Finserv,,"₹15,243.9019.75(0.13%)","₹14,642.05","₹2,33,011",
Wipro,,₹435.503.15(0.73%),₹416.00,"₹2,27,485",
Axis Bank,,₹728.907.30(1.01%),₹725.90,"₹2,22,957",
Sun Pharmaceutical,,₹915.85-2.65(0.29%),₹894.85,"₹2,14,704",
Titan,,"₹2,432.809.15(0.38%)","₹2,334.65","₹2,07,783",
UltraTech Cement,,"₹6,775.20187.15(2.84%)","₹6,471.25","₹1,86,633",
Nestle India,,"₹19,921.5071.50(0.36%)","₹19,112.40","₹1,84,273",
ONGC,,₹136.500.25(0.18%),₹130.25,"₹1,63,858",
Adani Ports,,₹810.253.00(0.37%),₹764.50,"₹1,61,490",
Tata Motors - DVR,,₹225.20-2.65(1.16%),₹218.40,"₹1,57,984",
Tata Motors,,₹469.100.20(0.04%),₹442.25,"₹1,57,984",
Power Grid Corp,,₹223.652.85(1.29%),₹214.20,"₹1,49,414",
JSW Steel,,₹662.9510.15(1.55%),₹616.70,"₹1,48,096",
NTPC,,₹155.600.90(0.58%),₹150.35,"₹1,45,789",
